title,cate,scrpit,dong,roadaddress,lon,lat,phone,photo_1,photo_2,tag,tagall
소울,쇼핑,답답한 마음을 풀어주는 소품샵,서귀포시내,제주특별자치도 서귀포시 이어도로 872,33.2364242,126.50804,064-739-9612,https://api.cdn.visitjeju.net/photomng/imgpath/202306/13/48175d37-b728-4eb8-969e-346cde1941fe.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202306/13/f3a5a142-f9b7-4950-a8ff-e4064f96d442.jpg,"서귀포, 법환, 소품샵, 의류, 잡화, 도자기, 문고리, 패들보드","서귀포, 법환, 소품샵, 의류, 잡화, 도자기, 문고리, 패들보드"
종이시계 카페,음식점,바닷가 쪽에 앉은 4층 의 흰색과 파아란 색으로 작은 성 모양의 빌딩,애월,제주특별자치도 제주시 애월읍 애월해안로 899,33.4853375,126.3918721,064-713-7137,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/2b416ce5-bee2-4208-8f07-541e789b6ec2.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/39c6d664-446c-434f-b115-63f4db8a6042.jpg,"카페,커피,맥주,음식,수제청,수제청음료,수제맥주,디저트,아메리카노,카페라떼,에스프레소,아포가토,카페모카,카푸치노,바닐라라떼,카라멜마끼아또,라떼,녹차라떼,초코라떼,생강라떼,딸기라떼,스무디,딸기스무디,망고스무디,딸기요거트스무디,망고요거트스무디,에이드,요거트스무디,레몬에이드,자몽에이드,패션후르츠에이드,차,카모마일,얼그레이,페퍼민트,오렌지루이보스,유자차,레몬차,생강차,자몽차,케이크,치즈케이크,팥빙수,나쵸칩,노가리","카페,커피,맥주,공용주차장,현금결제,카드결제,화장실"
제우스와 함께하는 니영나영 같이가게 캠페인 <반려견과 함께 떠나는 제주여행>,테마여행,"요즘 제주는 반려견 동반 여행객이 늘어나고 있다. 가족만큼 소중한 반려견이 있다면 어디든 함께 하고픈 것이 당연한 일이다. 반려견과 함께 갈 수 있는 곳도 그만큼 많아지는 추세다. 강아지에게 맞춰 작은 부분까지 섬세하게 신경 쓴 숙소도 있고, 맘껏 뛰놀 수 있는 잔디밭이나 작은 놀이터를 갖춘 애견 카페도 있다. 특별한 기념일이라면 정성껏 만든 수제 간식을 선물로 준비하면 어떨까? 반려견과 함께 떠나는 제주 여행을 특별하게 만들어줄 숙소와 카페들을 소개한다.",,,,,,https://api.cdn.visitjeju.net/photomng/imgpath/202111/10/6406a59f-9ca4-4b16-b681-c6e756d5813f.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202111/10/504c26a7-ba13-4fbf-a1ee-a3a3c0580b07.jpg,"도기키친프롬제주,멍멍플레이스,브레이브독스,카페3535.1,카페비글,캠핑,언택트","반려견, 강아지, 도기키친프롬제주, 멍멍플레이스, 브레이브독스, 카페3535.1, 카페비글"
고향향토장터,음식점,계절마다 바뀌는 추자도 특산물 음식점,추차도,제주특별자치도 제주시 추자면 추자로 576,33.9354341,126.3227638,064-747-8035,https://api.cdn.visitjeju.net/photomng/imgpath/201908/20/041f504b-0880-4a7e-be91-ebf62cf1d064.JPG,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201908/20/f73c0725-dbc1-462a-ac78-7cbba72ed474.JPG,"추자식당,추자음식점,하추자음식점,신양항근처음식점,추자도,음식,생선구이정식,정식,문어숙회,조기구이,물회,한치물회,제육볶음,김치찌개,식당,한치,백반,문어,돌문어,들깨칼국수,생선구이,닭볶음탕,매운탕,돌문어숙회,부침개,닭발,콩국수,장어탕,회,삼치회,참돔회,생선회,소라물회,소라회,냉면,생선조림","추자식당,추자음식점,하추자음식점,신양항근처음식점,추자도,음식,생선구이정식,정식,문어숙회,조기구이,물회,한치물회,제육볶음,김치찌개,식당,한치,백반,문어,돌문어,들깨칼국수,생선구이,닭볶음탕,매운탕,돌문어숙회,부침개,닭발,콩국수,장어탕,회,삼치회,참돔회,생선회,소라물회,소라회,냉면,생선조림,무료 WIFI,공용주차장,화장실,카드결제,현금결제,쉬움,가능"
동문올레수산,음식점,남다른 싱싱함을 자랑하는 횟집,제주시내,제주특별자치도 제주시 관덕로14길 10,33.5122613,126.5261942,064-752-5657,https://api.cdn.visitjeju.net/photomng/imgpath/202305/30/c06dd238-d7a1-4c8c-9c05-be104e3b0cbc.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202305/30/276a62ec-e930-4e08-a95c-158b7431238e.jpg,"제주시내, 동문시장, 회, 광어회, 갈치회, 딱새우회, 고등어회","제주시내, 동문시장, 회, 광어회, 갈치회, 딱새우회, 고등어회,모듬회, 갈치조림"
반짝반짝 추자비치,테마여행,"제주의 모든 해수욕장이 다 아름답지만, 더욱 깊은 섬 속에 있어 꼭 한 번은 가보고 싶은 추자도의 근사한 해수욕장 세 곳, 그리고 오롯하게 나만의 해변을 즐기는 꿀팁.",,,,,,https://api.cdn.visitjeju.net/photomng/imgpath/201808/03/7c6c17a4-85a2-49ed-9887-227d0f0cdd34.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201808/03/ae416552-0a74-4e05-999e-366be969a3ff.jpg,"휴식/힐링,경관/포토,드라이브,포토스팟","휴식/힐링,경관/포토,드라이브"
주민 해설사가 직접 말하는 ‘마라도’ <아름다운 섬 마라도에서 외치는 버리지 마라도!>,테마여행,"따뜻한 오후의 햇살과 시원한 바람이 함께 불어오는 마라도에서 숨 가쁘게 달려온 일상의 스트레스를 내려놓고, 여행의 진짜 여유와 휴식을 만나보는 건 어떨까? 또한 이런 마라도를 지키고 보존하기 위해서는 어떤 방법들이 있는지 지금부터 작지만 풍성한 섬 마라도가 들려주는 이야기에 귀를 기울여 보자.",,,,,,https://api.cdn.visitjeju.net/photomng/imgpath/201811/16/18e0e413-3599-49ef-9a15-dd1e8831c731.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201811/16/31467820-3295-4b94-814a-48f37102ee09.jpg,"혼자,친구,경관/포토,휴식/치유,부속섬,포토스팟","혼자,친구,경관/포토,휴식/치유,부속섬"
카페오놀,음식점,동물복지 유기농 우유를 이용한 다양한 디저트,서귀포시내,제주특별자치도 서귀포시 대포로 174,33.2387788,126.4396208,064-749-4564,https://api.cdn.visitjeju.net/photomng/imgpath/202306/27/7bd359f5-db22-4a67-ac66-48f10ed5641c.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202306/27/5e0738e3-16dd-4629-aaf4-53ca02c7e7a5.jpg,"서귀포, 대포동, 디저트, 판나코타, 빙수, 케이크, 아이스크림라떼, 커피","서귀포, 대포동, 디저트, 판나코타, 빙수, 케이크, 아이스크림라떼, 커피,유기농 애플망고 우유빙수, 제주 제철과일 판나코타"
낭만주의,음식점,알작지 토스트와 라떼가 맛있는 내도동 알작지 해변 앞 카페 ,제주시내,제주특별자치도 제주시 내도1길 18-1,33.4955266,126.4376599,010-9911-3200,https://api.cdn.visitjeju.net/photomng/imgpath/201812/20/7dd568d8-2f83-4ad0-bea2-3d56033ccd7a.JPG,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201812/20/f339683b-575a-4537-b875-e4056c2334c5.JPG,"커피,디저트,라떼,토스트,음식,아메리카노,샌드위치,바닐라라떼,카페라떼,녹차라떼,연유라떼,카페모카,토피넛라떼,초코라떼,그린티라떼,복숭아아이스티,아이스티,플레인요거트,딸기요거트,요거트,자몽에이드,에이드,차,허브티,대추차,유자차","커피,디저트,라떼,토스트,음식,아메리카노,샌드위치,바닐라라떼,카페라떼,녹차라떼,연유라떼,카페모카,토피넛라떼,초코라떼,그린티라떼,복숭아아이스티,아이스티,플레인요거트,딸기요거트,요거트,자몽에이드,에이드,차,허브티,대추차,유자차,공용주차장,화장실"
카페오늘의바다,음식점,카페 오늘의 바다는 범섬과 문섬을 한눈으로 즐길 수 있는 오션뷰를 자랑하는 곳이다.,서귀포시내,제주특별자치도 서귀포시 이어도로 990,33.2416566,126.5184877,070-4046-9901,https://api.cdn.visitjeju.net/photomng/imgpath/202308/18/e9fbbc0e-a3b1-4c45-9046-8e95404e4e54.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202308/18/0a354156-a2ef-4c47-afca-b6f2af4c0d35.jpg,"반려동물,반려동물동반입장,혼저옵서개,반려동물동반_식당카페","반려동물,반려동물동반입장,혼저옵서개,반려동물동반_식당카페,공용주차장,화장실,무료 WIFI,유도 및 안내시설,오늘의 바다 소다, 쑥라떼,어린이 출입가능,가능"
